a52dec 0.8.0-2
libindicator-gtk2 12.10.1-10
libindicator-gtk3 12.10.1-10
libinih 57-1
libinput 1.24.0-1
libinput-gestures 2.74-1
libinstpatch 1.1.6-2
libisl 0.26-1
libisoburn 1.5.6-1
libisofs 1.5.6-1
libixion 0.18.1-3
libjpeg-turbo 3.0.0-1
libjpeg6-turbo 1.5.3-2
libjxl 0.8.2-2
libkate 0.4.1-9
libkexiv2 23.08.0-1
libkeybinder3 0.3.2-4
libksba 1.6.4-1
libkscreen 5.27.7-1
liblangtag 0.6.4-1
liblc3 1.0.4-1
libldac 2.0.2.3-1
libldap 2.6.6-1
liblouis 3.26.0-1
liblphobos 3:1.34.0-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libluv 1.45.0_0-1
liblzf 3.6-4
libmad 0.15.1b-10
libmalcontent 0.11.1-2
libmanette 0.2.6-5
libmateweather 1.26.0-1
libmatroska 1.7.1-1
libmaxminddb 1.7.1-1
libmbim 1.28.4-1
libmd 1.1.0-1
libmemcached-awesome 1.1.4-2
libmfx 23.2.2-2
libmicrodns 0.2.0-1
libmicrohttpd 0.9.77-1
libmikmod 3.3.11.1-6
libmm-glib 1.20.6-2
libmms 0.6.4-4
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmodulemd 2.15.0-1
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-4
libmpd 11.8.17-5
libmpdclient 2.20-3
libmpeg2 0.5.1-8
libmspack 1:0.11alpha-1
libmspub 0.1.4-14
libmtp 1.1.21-1
libmwaw 0.3.22-1
libmypaint 1.6.1-1
libmysofa 1.3.1-2
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-2
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.6-1
libnghttp2 1.56.0-1
libnice 0.1.21-2
libnl 3.8.0-1
libnm 1.44.0-1
libnma 1.10.6-2
libnma-common 1.10.6-2
libnotify 0.8.2-1
libnsl 2.0.0-3
libnss_nis 3.2-1
libnumbertext 1.0.11-1
libnvme 1.5-1
libodfgen 0.1.8-2
libofa 0.9.3-9
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.3-1
libopenraw 0.3.7-1
liborcus 0.18.1-3
libotr 4.1.1-4
libp11-kit 0.25.0-1
libpackagekit-glib 1.2.7-1
libpagemaker 0.0.4-3
libpamac 11.3.0-1
libpamac-flatpak-plugin 11.3.0-1
libpamac-snap-plugin 11.3.0-1
libpaper 2.1.1-1
libpcap 1.10.4-1
libpciaccess 0.17-1
libpeas 1.36.0-2
libperconaserverclient 8.0.33_25-4
libpgm 5.3.128-3
libpipeline 1.5.7-1
libpipewire 1:0.3.79-2
libplacebo 5.264.1-2
libplist 2.3.0-2
libpng 1.6.40-2
libpng12 1.2.59-2
libportal 0.6-1
libportal-gtk4 0.6-1
libproxy 0.5.3-2
libpsl 0.21.2-1
libpulse 16.1-6
libpwquality 1.4.5-3
libqaccessibilityclient 0.4.1-2
libqalculate 4.8.0-1
libqmi 1.32.4-1
libqrtr-glib 1.2.2-2
libqxp 0.0.2-10
libraqm 0.10.1-1
libraw 0.21.1-2
libraw1394 2.1.2-3
librepo 1.15.2-1
librevenge 0.0.5-2
librsvg 2:2.56.3-1
librsync 1:2.3.4-1
librtmp0 2.4-5
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libsbsms 2.3.0-3
libseccomp 2.5.4-2
libsecret 0.21.0-1
libshout 1:2.4.6-2
libsidplay 1.36.59-10
libsigc++ 2.12.0-1
libsigc++-3.0 3.4.0-1
libsm 1.2.4-1
libsndfile 1.2.2-1
libsodium 1.0.18-2
libsolv 0.7.24-2
libsoup 2.74.3-1
libsoup3 3.4.2-1
libsoxr 0.1.3-3
libspectre 0.2.12-1
libspiro 1:20221101-2
libspnav 1.1-1
libsrtp 1:2.5.0-1
libssh 0.10.5-1
libssh2 1.11.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsynctex 2023.66984-16
libsysprof-capture 3.48.0-4
libtar 1.2.20-6
libtasn1 4.19.0-1
libteam 1.32-1
libtermkey 0.22-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0rc1-1
libtiff4 3.9.7-5
libtirpc 1.3.3-2
libtommath 1.2.1-1
libtool 2.4.7+4+g1ec8fa28-6
libtorrent-rasterbar 1:2.0.9-2
libtpms 0.9.6-1
libtraceevent 1:1.7.3-1
libtracefs 1.7.0-1
libudev0-shim 1-4
libunistring 1.1-2
libunwind 1.6.2-2
libupnp 1.14.18-1
liburcu 0.14.0-1
liburing 2.4-1
libusb 1.0.26-2
libusb-compat 0.1.8-1
libusbmuxd 2.0.2-3
libutempter 1.2.1-3
libutf8proc 2.8.0-1
libuv 1.46.0-1
libva 2.19.0-2
libvdpau 1.5-2
libverto 0.3.2-4
libvisio 0.1.7-9
libvisual 0.4.2-1
libvncserver 0.9.14-2
libvorbis 1.3.7-3
libvpx 1.13.0-1
libvpx1.3 1.3.0-3
libvterm 0.3.3-1
libvterm01 0.1.4-2
libwacom 2.8.0-1
libwbclient 4.19.0-1
libwebp 1.3.1-1
libwebsockets 4.3.2-3
libwireplumber 0.4.14-1
libwmf 0.2.13-1
libwnck3 43.0-3
libwpd 0.10.3-4
libwpe 1.14.1-2
libwpg 0.3.4-1
libwps 0.4.14-1
libwrap 7.6.31-4
libx11 1.8.6-1
libx86emu 3.5-3
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcrypt-compat 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfce4ui 4.18.4-1
libxfce4util 4.18.1-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml++ 3.2.4-1
libxml2 2.11.5-1
libxmlb 0.3.14-1
libxmu 1.1.4-1
libxnvctrl 535.104.05-1
libxpm 3.5.16-1
libxpresent 1.0.1-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxvmc 1.0.13-2
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
libzip 1.10.1-1
libzmf 0.0.2-14
licenses 20230903-1
lilv 0.24.20-2
linux 6.5.2.arch1-1
linux-api-headers 6.4-1
linux-atm 2.5.2-8
linux-firmware 20230804.7be2766d-2
linux-firmware-marvell 20230804.7be2766d-2
linux-firmware-qlogic 20230804.7be2766d-2
linux-firmware-whence 20230804.7be2766d-2
linux-headers 6.5.2.arch1-1
linux-lts 6.1.52-1
lirc 1:0.10.2-3
llvm 16.0.6-1
llvm-libs 16.0.6-1
llvm14 14.0.6-3
llvm14-libs 14.0.6-3
llvm15-libs 15.0.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
log4cplus 2.1.0-1
logrotate 3.21.0-2
lpsolve 5.5.2.11-2
lrzip 0.651-2
lsb-release 2.0.r53.a86f885-1
lshw B.02.19.2-6
lsof 4.98.0-1
lsscsi 0.32-1
lua 5.4.6-1
lua-sec 2:1.3.1-1
lua-socket 1:3.1.0-1
lua51 5.1.5-9
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.1.1694285958-1
luarocks 3.9.2-1
lv2 1.18.10-1
lvm2 2.03.22-2
lxrandr 0.3.2-3
lz4 1:1.9.4-1
lzo 2.10-5
lzop 1.04-3
m2r 0.2.1-10
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.11.2-1
man-pages 6.05.01-1
mariadb-libs 11.1.2-1
mate-desktop 1.26.1-1
mate-menus 1.26.0-1
mate-panel 1.26.3-1
mate-sensors-applet 1.26.0-2
mattermost 8.1.2-1
mbedtls 3.4.1-1
mc 4.8.30-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
meld 3.22.0-2
memtest86+ 6.20-1
mercurial 6.5.2-1
mesa 1:23.1.7-1
mesa-demos 9.0.0-2
mesa-utils 9.0.0-2
meson 1.2.1-1
metis 5.1.0.p10-2
microsoft-edge-stable-bin 117.0.2045.35-1
mingw-w64-binutils 2.38-3
mingw-w64-crt 10.0.0-1
mingw-w64-gcc 12.2.0-1
mingw-w64-headers 10.0.0-1
mingw-w64-winpthreads 10.0.0-1
miniupnpc 2.2.5-1
minizip 1:1.3-1
minizip-ng 4.0.1-1
mintstick-git r222.caa66ec-1
mjpegtools 2.2.1-2
mkcert 1.4.4-1
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-2
modemmanager-qt 5.110.0-1
mongo-c-driver 1.24.4-1
mono 6.12.0.205-1
mono-msbuild-git 16.10.1.r5005.gde7a9c7b8-1
moreutils 0.67-4
mosquitto 2.0.16-1
most 5.2.0-1
mpdecimal 2.5.1-1
mpfr 4.2.1-1
mpg123 1.31.3-1
mqtt-explorer-appimage 0.3.5-2
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
mtpfs 1.1-4
mujs 1.3.3-1
mupen64plus 2.5-26
mvnvm 1.0.17-1
mypaint-brushes1 1.3.1-1
nano 7.2-1
nbd 3.25-1
ncurses 6.4_20230520-1
ndctl 76.1-1
ndisc6 1.0.7-1
neofetch 7.1.0-2
neon 0.32.5-2
neovim 0.9.2-1
net-snmp 5.9.1-8
net-tools 2.10-2
netpbm 10.73.43-2
netstandard-targeting-pack 7.0.10.sdk110-1
nettle 3.9.1-1
network-manager-applet 1.32.0-3
networkmanager 1.44.0-1
networkmanager-dmenu-git r159.105507f-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-3
networkmanager-pptp 1.2.12-3
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.8-2
nilfs-utils 2.2.9-2
ninja 1.11.1-3
nitrogen 1.6.1-4
nm-connection-editor 1.32.0-3
nmap 7.94-2
node-gyp 9.4.0-1
nodejs-lts-hydrogen 18.17.1-1
nodejs-nopt 7.2.0-1
noip 2.1.9-7
noto-fonts 1:23.9.1-1
npth 1.6-4
nspr 4.35-1
nss 3.93-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
numactl 2.0.16-1
numix-circle-arc-icons-git 20.1-1
numix-circle-icon-theme-git 22.04.06.r0.g929c93a-1
numix-gtk-theme-git 2.6.7.r55.ad4b345-1
numix-icon-theme-git 21.10.31.r4.gb6c134d72-1
numlockx 1.2-5
nvidia 535.104.05-5
nvidia-cg-toolkit 3.1-6
nvidia-settings 535.104.05-1
nvidia-utils 535.104.05-1
nvm 0.39.3-1
nvme-cli 2.5-1
oath-toolkit 2.6.9-1
obkey-git 1.0.47.gcf99076-1
obmenu-generator 0.90-2
obmenu3 1.05-2
ocl-icd 2.3.2-1
oh-my-zsh-git r6606.8f56a8bdf-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
onetbb 2021.9.0-1
oniguruma 6.9.8-1
open-vm-tools 6:12.3.0-1
openal 1.23.1-1
openblas 0.3.23-3
openblas64 0.3.23-3
openbox 3.6.1-10
openbox-arc-git 20220426.r21.5ebdb7f-1
openbox-themes-pambudi-git r32.8bdf5de-1
opencl-clover-mesa 1:23.1.7-1
opencl-rusticl-mesa 1:23.1.7-1
opencollada 1:1.6.68-3
opencolorio 2.2.1-12
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.2.0-2
openfec 1.4.2.9-1
openimagedenoise 1.4.3-1
openimageio 2.4.12.0-3
openjpeg2 2.5.0-3
openlibm 0.8.1-1
openmpi 4.1.5-5
openpgl 0.5.0-5
openpmix 4.2.6-1
openrazer-daemon 3.6.1-2
openrazer-driver-dkms 3.6.1-2
openresolv 3.13.2-1
openshadinglanguage 1.12.13.0-3
openssh 9.4p1-4
openssl 3.1.2-1
openssl-1.0 1.0.2.u-1
openssl-1.1 1.1.1.v-1
opensubdiv 3.5.0-2
openvdb 10.0.1-5
openvpn 2.6.6-1
openxr 1.0.29-1
optimus-manager 1.5-1
optimus-manager-qt 1.6.9-1
opus 1.4-1
opusfile 0.12-3
orc 0.4.34-1
os-prober 1.81-1
ostree 2023.6-3
oxygen-sounds 5.27.7-1
p11-kit 0.25.0-1
p7zip 1:17.05-1
p8-platform 2.1.0.1-4
packagekit 1.2.7-1
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pacman-mirrorlist 20230820-1
pacman4console 1.3-1
pacutils 0.11.1-1
pahole 1:1.25-4
pam 1.5.3-3
pamac-cli 10.4.0-1
pamac-gtk 10.4.0-1
pambase 20221020-1
pamixer 1.6-2
pango 1:1.50.14-1
pango-perl 1.227-16
pangomm 2.46.3-1
pantheon-shortcut-overlay 2.0.1-1
partclone 0.3.25-1
parted 3.6-1
partimage 0.6.9-14
paru-bin 1.10.0-1
patch 2.7.6-10
patool 1.12-5
pavucontrol 1:5.0+r64+geba9ca6-1
pavucontrol-qt 1.3.0-1
pbzip2 1.1.13-3
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
pdcurses 3.9-2
perf 6.3-5
perl 5.38.0-1
perl-cairo-gobject 1.005-2
perl-clone 0.46-2
perl-data-dump 1.25-4
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-listing 6.16-2
perl-glib-object-introspection 0.050-3
perl-gtk3 0.038-4
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.44-2
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-io-socket-ssl 2.083-2
perl-io-tty 1.17-2
perl-ipc-run 20220807.0-1
perl-json 4.10-1
perl-libwww 6.67-2
perl-linux-desktopfiles 0.25-2
perl-locale-gettext 1.07-14
perl-log-message 0.08-9
perl-log-message-simple 0.10-9
perl-lwp-mediatypes 6.04-4
perl-lwp-protocol-https 6.10-5
perl-mailtools 2.21-7
perl-mozilla-ca 20230821-1
perl-net-dbus 1.2.0-5
perl-net-http 6.23-2
perl-net-ssleay 1.92-3
perl-parse-yapp 1.21-6
perl-term-readline-gnu 1.46-2
perl-term-ui 0.50-3
perl-text-csv 2.03-1
perl-text-iconv 1.7-23
perl-time-duration 1:1.21-1
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-uri 5.20-1
perl-www-robotrules 6.02-12
perl-xml-parser 2.46-5
perl-xml-twig 3.52-11
perl-xml-writer 0.900-2
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
php 8.2.10-1
physfs 3.2.0-1
picom 10.2-1
pigz 2.8-1
pinentry 1.2.1-1
pipewire 1:0.3.79-2
pipewire-alsa 1:0.3.79-2
pipewire-audio 1:0.3.79-2
pipewire-jack 1:0.3.79-2
pipewire-media-session 1:0.4.2-2
pipewire-pulse 1:0.3.79-2
pipewire-roc 1:0.3.79-2
pipewire-x11-bell 1:0.3.79-2
pixman 0.42.2-1
pixz 1.0.7-4
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
playerctl 2.4.1-3
polkit 123-1
polkit-gnome 0.105-10
polkit-qt5 0.114.0-1
polybar 3.6.3-3
poppler 23.08.0-1
poppler-data 0.4.12-1
poppler-glib 23.08.0-1
poppler-qt5 23.08.0-1
popt 1.19-1
portaudio 1:19.7.0-2
portmidi 1:2.0.4-1
portsmf 234-2
postgresql 15.4-2
postgresql-docs 15.4-2
postgresql-jdbc 42.3.1-1
postgresql-libs 15.4-2
postman-agent 0.4.4-1
postman-bin 9.19.0-1
potrace 1.16-2
powertop 2.15-1
ppp 2.5.0-1
ppsspp 1.15.4-1
ppsspp-assets 1.15.4-1
pptpclient 1.10.0-3
prettier 3.0.3-1
prison 5.110.0-1
procps-ng 4.0.4-1
progsreiserfs 0.3.0.5-10
proj 9.2.1-1
protobuf 24.2-1
proton 1:7.0.4-1
psmisc 23.6-1
ptex 2.4.2-2
pugixml 1.13-1
pulseaudio-control 3.1.1-1
pulseaudio-equalizer-ladspa 3.0.2-6
pulseaudio-qt 1.3-1
pv 1.7.24-1
pybind11 2.11.1-1
pyside2 5.15.10-2
pystring 1.1.4-1
python 3.11.5-2
python-absl 1.4.0-3
python-aiohttp 3.8.5-1
python-aiosignal 1.3.1-4
python-anytree 2.8.0-6
python-appdirs 1.4.4-9
python-asttokens 2.4.0-1
python-async-timeout 4.0.3-1
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-automat 22.10.0-3
python-backcall 0.2.0-8
python-bcrypt 4.0.1-3
python-beaker 1.12.0-3
python-beautifulsoup4 4.12.2-1
python-black 23.7.0-1
python-bowler 0.9.0-7
python-build 0.10.0-4
python-cachecontrol 1:0.13.1-1
python-cairo 1.24.0-1
python-casttube 0.2.1-4
python-cerberus 1.3.5-1
python-certifi 2023.07.22-1
python-cffi 1.15.1-4
python-chardet 5.2.0-1
python-charset-normalizer 3.2.0-1
python-cheetah3 3.3.2-1
python-click 8.1.7-1
python-colorama 0.4.6-2
python-commonmark 0.9.1-9
python-configargparse 1.5.3-3
python-configobj 5.0.8-4
python-constantly 15.1.0-13
python-contextlib2 21.6.0-2
python-cryptography 41.0.3-1
python-cycler 0.11.0-3
python-daemonize 2.5.0-6
python-dateutil 2.8.2-5
python-decorator 5.1.1-3
python-dephell 0.8.3-7
python-dephell-archive 0.1.7-2
python-dephell-argparse 0.1.3-5
python-dephell-changelogs 0.0.1-6
python-dephell-discover 0.2.10-6
python-dephell-licenses 0.1.7-6
python-dephell-links 0.1.5-2
python-dephell-markers 1.0.3-2
python-dephell-pythons 0.1.15-4
python-dephell-setuptools 0.2.4-4
python-dephell-shells 0.1.5-3
python-dephell-specifier 0.2.2-5
python-dephell-venvs 0.1.18-2
python-dephell-versioning 0.1.2-5
python-deprecated 1.2.14-1
python-distlib 0.3.7-1
python-distro 1.8.0-3
python-dnspython 1:2.3.0-3
python-docopt 0.6.2-12
python-docutils 1:0.20.1-1
python-evdev 1.6.1-2
python-executing 1.2.0-3
python-fastjsonschema 2.18.0-1
python-filelock 3.12.2-1
python-fissix 21.11.13-2
python-fluidity 0.2.1-4
python-fonttools 4.42.1-1
python-frozenlist 1.3.3-2
python-future 0.18.3-2
python-fuzzywuzzy 0.18.0-6
python-gobject 3.44.1-4
python-gpgme 1.22.0-1
python-greenlet 2.0.2-4
python-grpcio 1.58.0-1
python-grpcio-tools 1.58.0-1
python-hid-parser 0.0.3-2
python-html5lib 1.1-12
python-httplib2 0.22.0-4
python-hyperlink 21.0.0-5
python-i3ipc 2.2.1-4
python-idna 3.4-3
python-ifaddr 0.2.0-2
python-imdbpy 2021.4.18-4
python-importlib-metadata 5.0.0-5
python-incremental 22.10.0-3
python-inflect 7.0.0-1
python-iniconfig 2.0.0-4
python-inotify-simple 1.3.5-4
python-installer 0.7.0-3
python-invoke 2.1.3-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-jedi 0.19.0-1
python-jinja 1:3.1.2-4
python-keyutils 0.6-9
python-kiwisolver 1.4.5-1
python-levenshtein 0.21.1-1
python-lexicon 2.0.1-2
python-lxml 4.9.2-3
python-mako 1.2.4-3
python-markdown 3.4.4-1
python-markdown-it-py 3.0.0-1
python-markupsafe 2.1.3-1
python-matplotlib-inline 0.1.6-4
python-mdurl 0.1.2-4
python-mistune1 0.8.4-4
python-more-itertools 10.1.0-1
python-moreorless 0.4.0-6
python-msgpack 1.0.5-1
python-multidict 6.0.4-2
python-mypy_extensions 1.0.0-3
python-netaddr 0.8.0-7
python-netifaces 0.11.0-4
python-notify2 0.3.1-8
python-nspektr 0.4.0-3
python-numpy 1.25.2-1
python-ordered-set 4.1.0-4
python-orjson 3.9.7-1
python-packaging 23.1-1
python-paramiko 2.11.1-3
python-parso 1:0.8.3-2
python-pathspec 0.11.2-1
python-pathvalidate 3.0.0-1
python-pefile 2023.2.7-1
python-pep517 0.13.0-1
python-pexpect 4.8.0-7
python-pickleshare 0.7.5-9
python-pillow 10.0.0-2
python-pip 23.2.1-1
python-pipenv 2023.9.8-1
python-platformdirs 3.10.0-1
python-playsound 1.3.0-2
python-pluggy 1.3.0-1
python-ply 3.11-12
python-progress 1.6-5
python-prompt_toolkit 3.0.39-1
python-protobuf 24.2-1
python-psutil 5.9.5-1
python-ptyprocess 0.7.0-5
python-pure-eval 0.2.2-3
python-pychromecast 13.0.7-1
python-pycparser 2.21-5
python-pycryptodomex 3.12.0-2
python-pycups 2.0.1-6
python-pycurl 7.45.2-3
python-pydantic 1.10.9-1
python-pygame 2.4.0-1
python-pygments 2.16.1-1
python-pymongo 4.4.1-1
python-pynacl 1.4.0-6
python-pyopenssl 23.2.0-1
python-pyparsing 3.0.9-3
python-pyparted 3.13.0-1
python-pyproj 3.6.0-2
python-pyproject-hooks 1.0.0-5
python-pyqt5 5.15.9-2
python-pyqt5-sip 12.12.2-1
python-pysocks 1.7.1-8
python-pyte 0.8.1-2
python-pytest 7.4.2-1
python-pyudev 0.24.1-1
python-pywal 3.3.0-8
python-pyxdg 0.28-2
python-qtpy 2.3.1-2
python-rapidfuzz 3.2.0-1
python-regex 2023.6.3-1
python-requests 2.28.2-4
python-requests-unixsocket 0.3.0-3
python-resolvelib 1.0.1-1
python-retrying 1.3.3-16
python-rich 13.5.2-1
python-ruamel-yaml 0.17.32-1
python-ruamel.yaml.clib 0.2.7-2
python-setproctitle 1.3.2-2
python-setuptools 1:68.0.0-1
python-shellingham 1.5.0.post1-4
python-shiboken2 5.15.10-2
python-simplejson 3.19.1-2
python-six 1.16.0-8
python-soupsieve 2.5-1
python-sqlalchemy 1.4.44-2
python-stack-data 0.6.2-5
python-steamgriddb 1.0.4-1
python-tabulate 0.9.0-2
python-tenacity 8.2.3-1
python-termcolor 2.3.0-1
python-textual 0.15.1-2
python-toml 0.10.2-9
python-tomli 2.0.1-3
python-tomlkit 0.12.1-1
python-tqdm 4.66.1-2
python-traitlets 5.9.0-2
python-trove-classifiers 2023.8.7-1
python-twisted 22.10.0-3
python-typing_extensions 4.7.1-1
python-uc-micro-py 1.0.2-1
python-unidecode 1.3.6-2
python-urllib3 1.26.15-1
python-urwid 2.1.2.r63.g3c21a42-1
python-validate-pyproject 0.13-1
python-vdf 3.4-2
python-virtualenv 20.24.3-1
python-virtualenv-clone 0.5.7-4
python-volatile 2.1.0-4
python-wcwidth 0.2.6-1
python-webencodings 0.5.1-10
python-wheel 0.40.0-3
python-wrapt 1.14.1-2
python-xapp 2.4.1-1
python-xlib 0.33-2
python-yaml 6.0.1-2
python-yarl 1.9.2-1
python-yaspin 2.3.0-2
python-zeroconf 0.63.0-1
python-zipp 3.16.2-1
python-zope-interface 6.0-3
python-zstandard 0.21.0-2
python2 2.7.18-5
python2-gobject 3.36.1-5
python2-packaging 20.9-7
python2-pyparsing 2.4.7-6
python2-setuptools 2:44.1.1-2
python2-six 1.16.0-5
python310 3.10.12-1
python36 3.6.15-5
qbittorrent 4.5.5-1
qca-qt5 2.3.7-1
qdirstat 1.8.1-1
qhull 2020.2-4
qpdf 11.6.1-1
qrencode 4.1.1-2
qt-installer-framework 4.2.0-1
qt5-base 5.15.10+kde+r155-1
qt5-declarative 5.15.10+kde+r31-1
qt5-graphicaleffects 5.15.10-1
qt5-imageformats 5.15.10+kde+r9-1
qt5-location 5.15.10+kde+r4-2
qt5-multimedia 5.15.10+kde+r3-1
qt5-quickcontrols 5.15.10-1
qt5-quickcontrols2 5.15.10+kde+r6-1
qt5-sensors 5.15.10-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-tools 5.15.10+kde+r3-2
qt5-translations 5.15.10-1
qt5-virtualkeyboard 5.15.10-1
qt5-wayland 5.15.10+kde+r57-1
qt5-webchannel 5.15.10+kde+r3-1
qt5-webengine 5.15.14-5
qt5-webkit 5.212.0alpha4-18
qt5-x11extras 5.15.10-1
qt6-5compat 6.5.2-1
qt6-base 6.5.2-1
qt6-declarative 6.5.2-2
qt6-imageformats 6.5.2-1
qt6-svg 6.5.2-1
qt6-translations 6.5.2-1
qt6-wayland 6.5.2-2
quazip-qt5 1.4-1
r8168-dkms 8.049.02-2
ragel 6.10-3
rapidjson 1.1.0-5
rapidxml 1.13-4
raptor 2.0.16-3
rasqal 1:0.9.33-6
rate-mirrors-bin 0.9.2-1
rav1e 0.6.6-1
re2 1:20230901-1
readline 8.2.001-2
redland 1:1.0.17-8
refind 0.14.0.2-1
reflector 2023-1
reiserfsprogs 3.6.27-4
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.3-1
ripgrep 13.0.0-3
rnnoise 0.4.1-1
roc-toolkit 0.2.5-1
rofi 1.7.5-2
rp-pppoe 4.0-1
rpcbind 1.2.6-3
rpcsvc-proto 1.4.4-1
rpm-tools 4.18.1-4
rsync 3.2.7-4
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.4.13-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.6.3-1
ruby-logger 1.5.1-3
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
ruby2.7 2.7.8-1
rubygems 3.3.25-1
run-parts 5.5-1
runc 1.1.9-1
rust 1:1.72.0-1
rxvt-unicode-terminfo 9.31-4
samba 4.19.0-1
sane 1.2.1-5
sardi-icons 22.04-02
sbc 2.0-1
scour 0.38.2-3
screen 4.9.1-1
scrot 1.10-1
sddm 0.20.0-2
sddm-config-editor-git 0.1.r87.gc4f5986-1
sdl12-compat 1.2.64-1
sdl2 2.28.3-1
sdl2_image 2.6.3-1
sdl2_mixer 2.6.3-2
