a52dec 0.8.0-2
coreutils 9.3-1
cpio 2.14-1
cppdap 1.58.0-1
cppzmq 4.9.0-1
cracklib 2.9.11-1
cronie 1.6.1-1
cryptsetup 2.6.1-3
cups 1:2.4.6-1
cups-filters 1.28.17-4
cups-pdf 3.0.1-7
cups-pk-helper 0.2.7-1
curl 8.2.1-1
cvs 1.11.23-14
cython 3.0.2-1
darkhttpd 1.14-1
dart 3.0.7-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-c++ 0.9.0-11
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 1.4.1-1
ddrescue 1.27-1
debuginfod 0.189-3
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
devil 1.8.0-8
dex 0.9.0-1
dhclient 4.4.3.P1-2
dialog 1:1.3_20230209-1
diffutils 3.10-1
ding-libs 0.6.2-1
discord 0.0.29-1
discount 3.0.0.a-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnf 4.17.0-1
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:24.0.5-1
docker-compose 2.20.3-1
donut.c 1.0-1
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.1.0-1
doxygen 1.9.8-1
draco 1.5.6-2
drbl 2.30.5-3
dub 1.34.0-1
duf-bin 0.6.2-2
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
ecryptfs-utils 111-8
edid-decode-git r621.8a8d673-1
editorconfig-core-c 0.12.6-1
edk2-shell 202308-2
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.12-1
eglexternalplatform 1.1-2
electron 1:25-1
electron24 24.8.2-1
electron25 25.6.0-1
elfutils 0.189-3
elixir 1.15.0-1
embree 4.2.0-4
enchant 2.5.0-1
enet 1.3.17-1
erlang-nox 26.0.2-1
erofs-utils 1.6-1
ethtool 1:6.4-1
exfatprogs 1.2.1-1
exiv2 0.28.0-3
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
extra-cmake-modules 5.110.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fabric 3.2.2-1
fakeroot 1.32.1-1
fan2go-git 0.8.0.r118.g2387644-1
fancontrol-gui v0.8-1
fastfetch-git 1.3.1.r0.ge5237c1-1
fatresize 1.1.0-1
faudio 23.09-1
fd 8.7.0-1
feh 3.10-1
ffmpeg 2:6.0-9
ffmpeg4.4 4.4.4-1
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
figlet 2.2.5-5
file 5.45-1
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 117.0-1
fish 3.6.1-1
flac 1.4.3-1
flameshot 12.1.0-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.3-1
fmt 10.1.0-1
fontconfig 2:2.14.2-1
franz-bin 5.10.0-1
freealut 1.1.0-8
freeglut 3.4.0-1
freerdp 2:2.11.1-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
ftgl 2.4.0-2
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fvs 0.3.4-1
fzf 0.42.0-1
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.6-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf-xlib 2.40.2-2
gdk-pixbuf2 2.42.10-2
gdl 3.40.0-1
geeqie 2.1-2
gegl 0.4.46-2
gendesk 1.0.9-3
geoclue 2.7.0-1
geocode-glib 3.26.4-3
geocode-glib-common 3.26.4-3
gestures 0.3.1-1
gettext 0.22-1
ghc 9.0.2-3
ghc-libs 9.0.2-3
ghostscript 10.01.2-1
giflib 5.2.1-2
gimp 2.10.34-3
gio-qt 0.0.11-1
git 2.42.0-1
gjs 2:1.76.2-1
gksu 2.0.2-6
glew 2.2.0-6
glew1.10 1.10.0-3
glfw-x11 3.3.8-1
glhack 1.2-10
glib-networking 1:2.76.1-1
glib-perl 1.329.3-4
glib2 2.78.0-1
glib2-docs 2.78.0-1
glibc 2.38-3
glibmm 2.66.6-1
gloox 1.0.27-1
glslang 12.3.1-2
glu 9.0.3-1
glyr 1.0.10-5
gmp 6.3.0-1
gnome-bluetooth 3.34.5-4
gnome-keyring 1:42.1-3
gnome-logs 43.0-1
gnu-netcat 0.7.1-9
gnupg 2.2.41-2
gnuplot 5.4.9-1
gnutls 3.8.1-1
go 2:1.21.1-1
go-tools 4:0.12.0-1
gobject-introspection 1.78.0-1
gobject-introspection-runtime 1.78.0-1
golang-golang-x-crypto 0.0.20220830-1
golang-golang-x-net 0.0.20220826-1
golang-golang-x-sys 0.0.20230208-1
golang-golang-x-term 0.0.20220722-1
golang-golang-x-text 0.3.3-2
golang-golang-x-tools 0.0.20191225-2
google-chrome 116.0.5845.140-1
gpart 0.3-4
gparted 1.5.0-1
gperftools 2.12-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
gprolog 1.5.0-2
gptfdisk 1.0.9-2
granite 6.2.0-2
granite7 7.3.0-1
grantlee 5.3.1-1
graphene 1.10.8-1
graphicsmagick 1.3.41-3
graphite 1:1.3.14-3
graphviz 8.1.0-2
grep 3.11-1
groff 1.23.0-4
grub 2:2.12rc1-1
grub-customizer 5.2.3-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsimplecal 2.5-1
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-1
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.22.5-2
gst-plugin-pipewire 1:0.3.79-2
gst-plugins-bad 1.22.5-2
gst-plugins-bad-libs 1.22.5-2
gst-plugins-base 1.22.5-2
gst-plugins-base-libs 1.22.5-2
gst-plugins-good 1.22.5-2
gst-plugins-ugly 1.22.5-2
gstreamer 1.22.5-2
gtest 1.13.0-1
gtk-doc 1.33.2-3
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.12.1-1
gtk2 2.24.33-3
gtk2-perl 1.24993-5
gtk3 1:3.24.38-1
gtk4 1:4.12.1-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.8-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtksourceview5 5.8.0-1
gtkspell3 3.0.10-2
gtop 1.1.5-1
gts 0.7.6.121130-2
guile 3.0.9-1
gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gutenprint 5.3.4-2
gvfs 1.50.6-1
gvfs-afc 1.50.6-1
gvfs-gphoto2 1.50.6-1
gvfs-mtp 1.50.6-1
gvfs-nfs 1.50.6-1
gvfs-smb 1.50.6-1
gzip 1.13-2
harfbuzz 8.2.0-1
harfbuzz-icu 8.2.0-1
haveged 1.9.18-1
hblock 3.4.2-1
hddtemp 0.3.beta15.53-3
hdf5 1.14.2-1
hdparm 9.65-1
help2man 1.49.3-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
htop 3.2.2-1
